MLT	Kp	Intercept	L	        log10(E)	L^2	        log10(E)^2	L^3	        log10(E)^3	log10(E)*L	log10(E)*L^2	log10(E)^2*L	Adjusted R2
21	4	8.247573e+00	-4.368089e+00	-3.711893e+00	8.203851e-01	-1.261375e+00	-2.889684e-02	2.156578e-01	9.815061e-01	1.295587e-01	5.859233e-01	0.94245
21	5	6.556615e+00	-3.025109e+00	-2.490098e+00	6.514720e-01	-2.943759e-02	-2.238848e-02	5.300817e-01	1.512397e+00	1.036178e-01	6.936618e-01	0.94549
21	6	6.664013e+00	-3.151148e+00	-2.756030e+00	6.730895e-01	-5.035543e-01	-2.392248e-02	5.015257e-01	1.426664e+00	1.177137e-01	7.459815e-01	0.93986
21	7	2.741656e+00	-2.924058e-01	-2.782497e+00	4.167455e-02	-1.626785e+00	1.572766e-02	2.898142e-01	9.446596e-01	1.393182e-01	7.278788e-01	0.93601
22	1	-4.590363e+00	3.849984e+00	-3.307862e+00	-8.018508e-01	-5.969935e-01	6.933581e-02	2.171315e-01	6.565482e-01	9.535360e-02	3.544051e-01	0.77153
22	2	-2.609181e+00	2.507249e+00	-5.141995e+00	-5.146901e-01	-1.571547e+00	5.116362e-02	1.732032e-01	1.201708e+00	8.957430e-02	5.433813e-01	0.9206
22	3	1.080075e+00	3.236284e-01	-3.718565e+00	-5.764888e-02	-1.178401e+00	1.959957e-02	1.928291e-01	1.188282e+00	8.092215e-02	5.341144e-01	0.95301
22	4	4.479736e+00	-1.791747e+00	-2.497527e+00	3.837625e-01	-7.002120e-01	-9.574992e-03	2.565598e-01	1.158360e+00	8.196728e-02	5.367337e-01	0.96423
22	5	7.115847e+00	-2.980620e+00	8.689305e-02	6.478047e-01	7.610591e-01	-2.795117e-02	4.940494e-01	1.193656e+00	7.286485e-02	5.257920e-01	0.96623
22	6	1.034411e+01	-5.385961e+00	1.065337e-01	1.161385e+00	7.716018e-01	-6.171584e-02	4.895997e-01	1.208054e+00	7.274434e-02	5.283104e-01	0.96174
22	7	1.527996e+01	-8.823876e+00	5.233917e-01	1.885894e+00	9.122497e-01	-1.095329e-01	4.840952e-01	1.107045e+00	7.496147e-02	4.965770e-01	0.94807
23	1	-9.118623e+00	6.724055e+00	-3.965887e+00	-1.375352e+00	-8.335226e-01	1.046972e-01	2.009562e-01	8.231081e-01	8.124472e-02	3.770911e-01	0.80809
23	2	-3.740883e+00	3.467194e+00	-3.997971e+00	-7.001114e-01	-1.237937e+00	5.863242e-02	1.334926e-01	1.117128e+00	6.114471e-02	4.509570e-01	0.93032
23	3	5.376906e-01	9.692099e-01	-2.061007e+00	-1.823208e-01	-5.029704e-01	2.387347e-02	2.247389e-01	1.071661e+00	5.850010e-02	4.461086e-01	0.95698
23	4	3.849287e+00	-1.117338e+00	-7.892561e-01	2.559385e-01	8.074780e-02	-5.009557e-03	3.151658e-01	1.066045e+00	5.871764e-02	4.531396e-01	0.96842
23	5	6.541330e+00	-2.454719e+00	1.481125e+00	5.404290e-01	1.340032e+00	-2.428085e-02	5.163963e-01	1.067777e+00	5.079943e-02	4.374805e-01	0.9716
23	6	9.778494e+00	-4.861683e+00	1.537440e+00	1.053167e+00	1.355536e+00	-5.796366e-02	5.118758e-01	1.069339e+00	5.137129e-02	4.387966e-01	0.96811
23	7	1.467645e+01	-8.275620e+00	1.985977e+00	1.769856e+00	1.458738e+00	-1.049781e-01	4.988052e-01	9.306013e-01	5.826336e-02	4.082278e-01	0.95666
